,202406_202312
number of new accepted species names,419760
number of old accepted species names,422863
new accepted species names which were previously published,363684
number of new species names,1021625
number of old species names,1037275
new species names not in old,19038
species names have disappearedbut this could be due to orthographic changes with authorship,34688
