,taxon_name_w_authors,201807_accepted_name_w_author,201905_taxon_name_w_authors,201905_chained_accepted_name_w_author,201905_chained_accepted_species
count,965349,965349,965349,965349,952876
unique,965349,339057,339057,339057,310216
top,Zygostigma Griseb.,Solanum tuberosum L.,Solanum tuberosum L.,Solanum tuberosum L.,Solanum tuberosum
freq,1,612,612,612,612
