,taxon_name_w_authors,201905_direct_accepted_name_w_author,201905_direct_accepted_species
count,957690,957690,945155
unique,957690,349557,318569
top,Zygostigma Griseb.,Mentha longifolia (L.) L.,Mentha longifolia
freq,1,446,499
