,taxon_name_w_authors,201807_accepted_name_w_author,201905_taxon_name_w_authors,201905_chained_accepted_name_w_author,201905_chained_accepted_species,201905_direct_accepted_name_w_author,201905_direct_accepted_species,201905_chained_accepted_genus,201905_direct_accepted_genus
783309,Hyoscyamus boveanus (Dunal) Asch. & Schweinf.,Hyoscyamus muticus L.,Hyoscyamus muticus L.,Hyoscyamus muticus L.,Hyoscyamus muticus,Hyoscyamus boveanus (Dunal) Asch. & Schweinf.,Hyoscyamus boveanus,Hyoscyamus,Hyoscyamus
927763,Agathelpis Choisy,Microdon Choisy,Microdon Choisy,Microdon Choisy,,Agathelpis Choisy,,Microdon,Agathelpis
934688,Parapolystichum (Keyserl.) Ching,Lastreopsis Ching,Lastreopsis Ching,Lastreopsis Ching,,Parapolystichum (Keyserl.) Ching,,Lastreopsis,Parapolystichum
