,202212_202412
number of new accepted species names,426506
number of old accepted species names,423006
new accepted species names which were previously published,330983
number of new species names,1052971
number of old species names,981071
new species names not in old,162599
species names have disappearedbut this could be due to orthographic changes with authorship,90699
