,taxon_name_w_authors,202312_direct_accepted_name_w_author,202312_direct_accepted_species
count,856643,856643,845999
unique,856643,321465,284822
top,Erica banksia Andrews,Solanum tuberosum L.,Mentha longifolia
freq,1,341,422
