,taxon_name_w_authors,201807_accepted_name_w_author,202312_taxon_name_w_authors,202312_chained_accepted_name_w_author,202312_chained_accepted_species
count,868115,868115,868115,868115,856041
unique,868115,315761,315761,284395,261563
top,Zygostigma Griseb.,Solanum tuberosum L.,Solanum tuberosum L.,Solanum tuberosum L.,Solanum tuberosum
freq,1,612,612,612,612
