,202306_202312
number of new accepted species names,419760
number of old accepted species names,414787
new accepted species names which were previously published,358012
number of new species names,1021625
number of old species names,1013334
new species names not in old,46530
species names have disappearedbut this could be due to orthographic changes with authorship,38239
