,202204_201905
number of new accepted species names,370669
number of old accepted species names,417460
new accepted species names which were previously published,298407
number of new species names,807543
number of old species names,965566
new species names not in old,148068
species names have disappearedbut this could be due to orthographic changes with authorship,306091
