,202212_202312,Percentages
original_names,1278064,100.0
total_disagreements,27174,2.1261846042138735
species_disagreements,11134,0.8711613815896544
genus_disagreements,3453,0.27017426357365515
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
