,202406_202207
number of new accepted species names,418152
number of old accepted species names,422863
new accepted species names which were previously published,335519
number of new species names,965735
number of old species names,1037275
new species names not in old,114022
species names have disappearedbut this could be due to orthographic changes with authorship,185562
