,202312_201905
number of new accepted species names,370669
number of old accepted species names,419760
new accepted species names which were previously published,292804
number of new species names,807543
number of old species names,1021625
new species names not in old,134254
species names have disappearedbut this could be due to orthographic changes with authorship,348336
