,202306_201905
number of new accepted species names,370669
number of old accepted species names,414787
new accepted species names which were previously published,287544
number of new species names,807543
number of old species names,1013334
new species names not in old,154971
species names have disappearedbut this could be due to orthographic changes with authorship,360762
