,202207_202412
number of new accepted species names,426506
number of old accepted species names,418152
new accepted species names which were previously published,322239
number of new species names,1052971
number of old species names,965735
new species names not in old,187337
species names have disappearedbut this could be due to orthographic changes with authorship,100101
