,v11_v14
number of new accepted species names,364367
number of old accepted species names,358191
new accepted species names which were previously published,352489
number of new species names,1039899
number of old species names,1026625
new species names not in old,25096
species names have disappearedbut this could be due to orthographic changes with authorship,11822
