,taxon_name_w_authors,201807_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species
count,18704,18704,18704,18704,18203,18704,18704
unique,18704,8493,8493,8413,8285,10567,10312
top,Sedum sasakii Hayata,Cestrum L.,Cestrum L.,Cestrum L.,Dichanthelium acuminatum,Crocus duplex Weston,Crocus duplex
freq,1,188,188,188,119,77,77
