,taxon_name_w_authors,201807_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species
count,63676,63676,63676,63676,62981,63676,63469
unique,63676,18157,18157,18052,17367,22069,19924
top,Werckleocereus Britton & Rose,Mentha longifolia (L.) L.,Mentha longifolia (L.) L.,Mentha longifolia (L.) L.,Mentha longifolia,Mentha longifolia subsp. longifolia ,Mentha longifolia
freq,1,374,374,374,374,375,375
