,taxon_name_w_authors,v10_accepted_name_w_author,v11_taxon_name_w_authors,v11_chained_accepted_name_w_author,v11_chained_accepted_species,v11_direct_accepted_name_w_author,v11_direct_accepted_species,v11_chained_accepted_genus,v11_direct_accepted_genus
count,1484,1484,1484,1484,1430,1484,1433,1484,1484
unique,1484,789,789,788,745,851,792,471,485
top,Bryophyllum peltigerum (Desc.) V.V.Byalt,Leea indica (Burm.f.) Merr.,Leea indica (Burm.f.) Merr.,Leea indica (Burm.f.) Merr.,Leea indica,Leea javanica Blume,Leea javanica,Carex,Carex
freq,1,32,32,32,32,31,31,80,80
