,taxon_name_w_authors,v11_direct_accepted_name_w_author,v11_direct_accepted_species
count,1352765,1352765,1311771
unique,1352765,426674,355837
top,Vernonanthura schulziana (Cabrera) H.Rob.,Rosa canina L.,Rosa canina
freq,1,1127,1127
