,201807_202112
number of new accepted species names,416165
number of old accepted species names,371192
new accepted species names which were previously published,248015
number of new species names,964986
number of old species names,811581
new species names not in old,360029
species names have disappearedbut this could be due to orthographic changes with authorship,206624
