,202112_202204
number of new accepted species names,417460
number of old accepted species names,416165
new accepted species names which were previously published,376457
number of new species names,965566
number of old species names,964986
new species names not in old,666
species names have disappearedbut this could be due to orthographic changes with authorship,86
