,taxonID,taxon_name,taxon_name_w_authors,accepted_name,accepted_name_w_author,accepted_name_id,accepted_species,accepted_species_w_author,accepted_genus,taxon_rank,taxon_status
count,1051270,1051270,1051270,1051270,1051270,1051270,1031298,1031298,1051270,1051270,1051270
unique,1051270,1016140,1051089,389877,389926,389939,350453,371192,17428,7,4
top,wfo-4000041358,Solanum villosum,Lycium japonicum Thunb.,Solanum tuberosum,Solanum tuberosum L.,wfo-0001031908,Solanum  tuberosum,Solanum  tuberosum L.,Carex,Species,Synonym
freq,1,8,4,627,627,627,627,627,9584,811727,657552
