,taxon_name_w_authors,v10_11_12_13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
count,13396,13396,13396,13396,13086,13396,13095
unique,13396,4384,4384,4377,4059,5194,4503
top,Austrocylindropuntia colubrina (A.Cast.) Backeb.,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor,Sorghum bicolor subsp. bicolor,Sorghum bicolor
freq,1,319,319,319,319,319,319
