,taxon_name_w_authors,v10_11_accepted_name_w_author
count,1350873,1350873
unique,1350873,424641
top,Ozoroa obovata var. gomesiana (R.Fern. & A.Fern.) R.Fern. & A.Fern.,Rosa canina L.
freq,1,1135
