,taxon_name_w_authors,v10_11_12_13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
count,6530,6530,6530,6530,6521,6530,6530
unique,6530,2745,2745,2738,2707,3169,3108
top,Austrocylindropuntia colubrina (A.Cast.) Backeb.,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium,Eruca sativa Mill.,Achillea borealis
freq,1,67,67,67,67,46,49
