,202112_202207
number of new accepted species names,418152
number of old accepted species names,416165
new accepted species names which were previously published,376459
number of new species names,965735
number of old species names,964986
new species names not in old,836
species names have disappearedbut this could be due to orthographic changes with authorship,87
