,taxon_name_w_authors,v11_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species,v13_direct_accepted_name_w_author,v13_direct_accepted_species
1987,Cyathea insularis Domin,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. boivinii,Gymnosphaera boivinii
31023,Eucalyptus pseudoglobulus Naudin ex Maiden,Eucalyptus stjohnii (F.Muell. ex R.T.Baker) R.T.Baker,Eucalyptus stjohnii (F.Muell. ex R.T.Baker) R.T.Baker,,,Eucalyptus pseudoglobulus Naudin ex Maiden,Eucalyptus pseudoglobulus
447863,Gymnosphaera melanotricha (Tardieu) Tardieu,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. lobata (Rakotondr.) S.Y.Dong,Gymnosphaera boivinii
447864,Alsophila castanea Baker,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. boivinii,Gymnosphaera boivinii
447865,Alsophila melanotricha Tardieu,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. lobata (Rakotondr.) S.Y.Dong,Gymnosphaera boivinii
447866,Cyathea badia Domin,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. boivinii,Gymnosphaera boivinii
447867,Cyathea melanotricha (Tardieu) Tindale,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. lobata (Rakotondr.) S.Y.Dong,Gymnosphaera boivinii
447868,Cyathea rigidula Baker,Alsophila bullata Baker,Alsophila bullata Baker,,,Gymnosphaera boivinii var. boivinii,Gymnosphaera boivinii
1135647,Eucalyptus globulus subsp. pseudoglobulus (Naudin ex Maiden) J.B.Kirkp.,Eucalyptus stjohnii (F.Muell. ex R.T.Baker) R.T.Baker,Eucalyptus stjohnii (F.Muell. ex R.T.Baker) R.T.Baker,,,Eucalyptus pseudoglobulus Naudin ex Maiden,Eucalyptus pseudoglobulus
1192368,Carthamus lanatus var. baeticus (Boiss. & Reut.) Cout.,Carthamus lanatus subsp. lanatus,Carthamus lanatus subsp. lanatus,,,Carthamus creticus L.,Carthamus creticus
1192369,Carthamus lanatus subsp. baeticus (Boiss. & Reut.) Nyman,Carthamus lanatus subsp. lanatus,Carthamus lanatus subsp. lanatus,,,Carthamus creticus L.,Carthamus creticus
