,202204_202212
number of new accepted species names,423006
number of old accepted species names,417460
new accepted species names which were previously published,370814
number of new species names,981071
number of old species names,965566
new species names not in old,27514
species names have disappearedbut this could be due to orthographic changes with authorship,12009
