,v10_v12,Percentages
original_names,1359750,100.0
total_disagreements,7132,0.5245081816510387
species_disagreements,2979,0.21908439051296194
genus_disagreements,352,0.025887111601397315
unresolved_via_chaining_despite_a_direct_resolution,20,0.0014708586137157566
