,202112_202412
number of new accepted species names,426506
number of old accepted species names,416165
new accepted species names which were previously published,321752
number of new species names,1052971
number of old species names,964986
new species names not in old,187958
species names have disappearedbut this could be due to orthographic changes with authorship,99973
