,202312_202406
number of new accepted species names,422863
number of old accepted species names,419760
new accepted species names which were previously published,360996
number of new species names,1037275
number of old species names,1021625
new species names not in old,34688
species names have disappearedbut this could be due to orthographic changes with authorship,19038
