,v10_v12
number of new accepted species names,358923
number of old accepted species names,356292
new accepted species names which were previously published,352414
number of new species names,1028366
number of old species names,1023695
new species names not in old,15217
species names have disappearedbut this could be due to orthographic changes with authorship,10546
