,202112_201905
number of new accepted species names,370669
number of old accepted species names,416165
new accepted species names which were previously published,298403
number of new species names,807543
number of old species names,964986
new species names not in old,148050
species names have disappearedbut this could be due to orthographic changes with authorship,305493
