,v11_v12
number of new accepted species names,358923
number of old accepted species names,358191
new accepted species names which were previously published,356457
number of new species names,1028366
number of old species names,1026625
new species names not in old,5975
species names have disappearedbut this could be due to orthographic changes with authorship,4234
