,201807_202412
number of new accepted species names,426506
number of old accepted species names,371192
new accepted species names which were previously published,239826
number of new species names,1052971
number of old species names,811581
new species names not in old,404565
species names have disappearedbut this could be due to orthographic changes with authorship,163175
