,202212_202306,Percentages
original_names,1278064,100.0
total_disagreements,12195,0.9541775685724658
species_disagreements,2861,0.22385420448428248
genus_disagreements,485,0.03794802138234079
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
