,taxon_name_w_authors,v10_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species,v13_direct_accepted_name_w_author,v13_direct_accepted_species,v13_chained_accepted_genus,v13_direct_accepted_genus
683,Tamala Raf.,Persea Mill.,Persea Mill.,Persea Mill.,,Tamala Raf.,,Persea,Tamala
811,Zedoaria Raf.,Amomum Roxb.,Amomum Roxb.,Amomum Roxb.,,Curcuma L.,,Amomum,Curcuma
1330,Cleome nummularia DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea,Cleome parviflora subsp. psoraleifolia (DC.) Iltis,Cleome parviflora,Cleome,Cleome
1672,Galypola Nieuwl.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,,Senega (DC.) Spach,,Polygala,Senega
1673,Sexilia Raf.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,,Senega (DC.) Spach,,Polygala,Senega
1919,Andreettaea Luer,Pleurothallis R.Br.,Pleurothallis R.Br.,Pleurothallis R.Br.,,Andreettaea Luer,,Pleurothallis,Andreettaea
1972,Panicum nitidum Lam.,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum,Dichanthelium nitidum (Lam.) Mohlenbr.,Dichanthelium nitidum,Dichanthelium,Dichanthelium
2041,Conohoria passoura DC.,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens,Rinorea pubiflora (Benth.) Sprague & Sandwith,Rinorea pubiflora,Rinorea,Rinorea
2750,Usteria Dennst.,Acalypha L.,Acalypha L.,Acalypha L.,,Symplocos Jacq.,,Acalypha,Symplocos
3117,Acalypha integrifolia var. crateriana Coode,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata,Acalypha crateriana (Coode) I.Montero & Cardiel,Acalypha crateriana,Acalypha,Acalypha
3170,Acalypha dupraeana var. sylvicola Baill.,Acalypha oxyodonta (Müll.Arg.) Müll.Arg.,Acalypha oxyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis,Acalypha,Acalypha
3392,Acalypha major Baill.,Acalypha weddelliana Baill.,Acalypha weddelliana Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis,Acalypha,Acalypha
3394,Acalypha brasiliensis var. psilophylla Müll.Arg.,Acalypha weddelliana Baill.,Acalypha weddelliana Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis,Acalypha,Acalypha
4504,Ajuga nanti Boreau,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,Ajuga reptans L.,Ajuga reptans,Ajuga,Ajuga
5850,Lankesteriana Karremans,Anathallis Barb.Rodr.,Anathallis Barb.Rodr.,Anathallis Barb.Rodr.,,Lankesteriana Karremans,,Anathallis,Lankesteriana
6177,Angraecum longinode Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens,Angraecum costatum Frapp. ex Cordem.,Angraecum costatum,Angraecum,Angraecum
6361,Mystacidium spicatum Cordem.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum,Angraecum parvulum Ayres ex S.Moore,Angraecum parvulum,Angraecum,Angraecum
8666,Asperula saxatilis Lam.,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida,Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio,Cynanchica pyrenaica,Cynanchica,Cynanchica
8758,Aspidosperma marcgravianum Woodson,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum,Aspidosperma marcgravianum Woodson,Aspidosperma marcgravianum,Aspidosperma,Aspidosperma
8961,Attalea camposportoana Burret,Attalea apoda Burret,Attalea apoda Burret,Attalea exigua Drude,Attalea exigua,Attalea compta Mart.,Attalea compta,Attalea,Attalea
8971,Attalea gomphococca Mart.,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea,Attalea
8972,Scheelea gomphococca (Mart.) Burret,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea,Attalea
8977,Attalea pycnocarpa Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii,Attalea,Attalea
9015,Attalea phalerata var. concinna L.R.Moreno & O.I.Moreno,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea cephalotus Poepp. ex Mart.,Attalea cephalotus,Attalea,Attalea
9021,Scheelea leandroana Barb.Rodr.,Attalea princeps Mart.,Attalea princeps Mart.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea,Attalea
9454,Baissea laxiflora Stapf,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora,Baissea,Baissea
