,taxon_name_w_authors,v10_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species,v13_direct_accepted_name_w_author,v13_direct_accepted_species,v13_chained_accepted_genus,v13_direct_accepted_genus
count,4350,4350,4350,4350,4174,4350,4179,4350,4350
unique,4350,2044,2044,2036,1923,2322,2149,993,1033
top,Bryophyllum peltigerum (Desc.) V.V.Byalt,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria,Eruca sativa Mill.,Eruca sativa,Rosa,Rosa
freq,1,62,62,62,62,46,46,153,153
