,202306_202412
number of new accepted species names,426506
number of old accepted species names,414787
new accepted species names which were previously published,338488
number of new species names,1052971
number of old species names,1013334
new species names not in old,127074
species names have disappearedbut this could be due to orthographic changes with authorship,87437
