,taxon_name_w_authors,v14_direct_accepted_name_w_author,v14_direct_accepted_species
count,1364034,1364034,1322958
unique,1364034,429013,358607
top,Panicum flexuosum Scribn. & Merr.,Rosa canina L.,Rosa canina
freq,1,1086,1086
