,taxon_name_w_authors,v12_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species
count,1359618,1359618,1359618,1359164,1318156
unique,1359618,427390,427390,425304,355955
top,Dryopteris cheilanthoides var. subplana C.Chr.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina
freq,1,1103,1103,1103,1103
