,taxon_name_w_authors,201807_accepted_name_w_author,202306_taxon_name_w_authors,202306_chained_accepted_name_w_author,202306_chained_accepted_species,202306_direct_accepted_name_w_author,202306_direct_accepted_species
88,Nothites latifolia Cass.,Stevia melissaefolia (Lam.) Sch.Bip.,Stevia melissaefolia (Lam.) Sch.Bip.,Stevia melissaefolia (Lam.) Sch.Bip.,Stevia melissaefolia,Stevia melissifolia Sch.Bip.,Stevia melissifolia
102,Baccharis glutinosa Pers.,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina,Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia
153,Haplopappus wigginsii S.F.Blake,Machaeranthera wigginsii (S.F.Blake) R.L.Hartm.,Machaeranthera wigginsii (S.F.Blake) R.L.Hartm.,Machaeranthera wigginsii (S.F.Blake) R.L.Hartm.,Machaeranthera wigginsii,Xanthisma wigginsii (S.F.Blake) D.R.Morgan & R.L.Hartm.,Xanthisma wigginsii
205,Artemisia eschscholtziana Besser,Artemisia biennis Willd.,Artemisia biennis Willd.,Artemisia biennis Willd.,Artemisia biennis,Artemisia australis Less.,Artemisia australis
228,Arnica amplexicaulis Wall. ex DC.,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis,Ligularia amplexicaulis DC.,Ligularia amplexicaulis
243,Aster lusitanicus Brot.,Aster willkommii Sch.Bip.,Aster willkommii Sch.Bip.,Aster willkommii Sch.Bip.,Aster willkommii,Galatella aragonensis Nees,Galatella aragonensis
245,Hieracium sachokianum Kem.-Nath.,Pilosella setigera Fr.,Pilosella setigera Fr.,Pilosella rothiana F.W.Schultz & Sch.Bip.,Pilosella rothiana,Pilosella cymosiformis (Froel.) Gottschl.,Pilosella cymosiformis
289,Piqueria hartwegi B.L.Rob.,Ophryosporus galioides (DC.) R.M.King & H.Rob.,Ophryosporus galioides (DC.) R.M.King & H.Rob.,Ophryosporus galioides (DC.) R.M.King & H.Rob.,Ophryosporus galioides,Ophryosporus hartwegii (B.L.Rob.) R.M.King & H.Rob.,Ophryosporus hartwegii
308,Gamochaeta standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi,Gamochaeta standleyi (Steyerm.) G.L.Nesom,Gamochaeta standleyi
314,Bigelowia nevadensis (A.Gray) A.Gray,Ericameria parryi var. nevadensis (A.Gray) G.L.Nesom & G.I.Baird,Ericameria parryi var. nevadensis (A.Gray) G.L.Nesom & G.I.Baird,Ericameria parryi var. nevadensis (A.Gray) G.L.Nesom & G.I.Baird,Ericameria parryi,Solidago velutina subsp. sparsiflora (A.Gray) Semple,Solidago velutina
320,Baeria leptalea (A.Gray) A.Gray,Lasthenia glabrata Lindl.,Lasthenia glabrata Lindl.,Lasthenia glabrata Lindl.,Lasthenia glabrata,Lasthenia leptalea (A.Gray) Ornduff,Lasthenia leptalea
331,Aster conyzoides Willd.,Sericocarpus conyzoides Nees,Sericocarpus conyzoides Nees,Sericocarpus conyzoides Nees,Sericocarpus conyzoides,Sericocarpus asteroides (L.) Nees,Sericocarpus asteroides
352,Lessingia micradenia Greene,Lessingia leptoclada A.Gray,Lessingia leptoclada A.Gray,Lessingia leptoclada A.Gray,Lessingia leptoclada,Lessingia micradenia Greene,Lessingia micradenia
408,Erigeron diversifolius Rich. ex Rchb.,Bellis annua L.,Bellis annua L.,Bellis annua L.,Bellis annua,Erigeron annuus (L.) Pers.,Erigeron annuus
426,Theodorea crepidifolia (Turcz.) Soják,Saussurea alata DC.,Saussurea alata DC.,Saussurea alata DC.,Saussurea alata,Saussurea runcinata DC.,Saussurea runcinata
432,Gnaphalium spadiceum Lam.,Helichrysum cymosum (L.) D.Don,Helichrysum cymosum (L.) D.Don,Helichrysum cymosum (L.) D.Don,Helichrysum cymosum,Helichrysum cylindriflorum (L.) Hilliard & B.L.Burtt,Helichrysum cylindriflorum
446,Chrysocoryne huegelii A.Gray,Gnephosis tenuissima Cass.,Gnephosis tenuissima Cass.,Gnephosis tenuissima Cass.,Gnephosis tenuissima,Gnephosis drummondii (A.Gray) P.S.Short,Gnephosis drummondii
454,Anthemis mucronulata K.Koch,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata (Ledeb.) Rauschert,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Tripleurospermum breviradiatum,Anthemis marschalliana subsp. pectinata (Boiss.) Grierson,Anthemis marschalliana
493,Aster spathularis Steud.,Inula salicina L.,Inula salicina L.,"Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema salicinum,Grindelia inuloides Willd.,Grindelia inuloides
501,Artemisia leptostachya D.Don,Artemisia vulgaris L.,Artemisia vulgaris L.,Artemisia vulgaris L.,Artemisia vulgaris,Artemisia indica Willd.,Artemisia indica
