,202312_202412,Percentages
original_names,1382655,100.0
total_disagreements,22225,1.6074147202302815
species_disagreements,7201,0.5208096018167945
genus_disagreements,1038,0.07507295746227367
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
