,taxon_name_w_authors,202112_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species,202412_chained_accepted_genus,202412_direct_accepted_genus
count,4759,4759,4759,4759,4195,4759,4225,4759,4759
unique,4759,2399,2399,2381,2113,2752,2308,1249,1297
top,Pyramidium Boiss.,Grammitis Sw.,Grammitis Sw.,Grammitis Sw.,Setaria parviflora,Cenchrus setosus subsp. setosus ,Cenchrus setosus,Grammitis,Vernonia
freq,1,41,41,41,40,38,39,78,292
