,taxon_name_w_authors,202112_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species
count,53010,53010,53010,53010,52367,53010,52461
unique,53010,16413,16413,16277,15254,19417,17340
top,Pyramidium Boiss.,Mentha longifolia (L.) L.,Mentha longifolia (L.) L.,Mentha longifolia (L.) L.,Mentha longifolia,Mentha longifolia subsp. longifolia ,Mentha longifolia
freq,1,239,239,239,239,240,240
