,taxon_name_w_authors,202204_direct_accepted_name_w_author,202204_direct_accepted_species
count,798785,798785,788636
unique,798785,325773,289628
top,Riedlea ,Solanum tuberosum L.,Mentha longifolia
freq,1,349,429
