,201905_202312
number of new accepted species names,419760
number of old accepted species names,370669
new accepted species names which were previously published,256732
number of new species names,1021625
number of old species names,807543
new species names not in old,348336
species names have disappearedbut this could be due to orthographic changes with authorship,134254
