,taxon_name_w_authors,202207_accepted_name_w_author,202306_taxon_name_w_authors,202306_chained_accepted_name_w_author,202306_chained_accepted_species,202306_direct_accepted_name_w_author,202306_direct_accepted_species,202306_chained_accepted_genus,202306_direct_accepted_genus
40265,Hieracium gemellum subsp. gemellum ,Hieracium eurofinmarkicum (Norrl.) Schljakov,Hieracium eurofinmarkicum (Norrl.) Schljakov,Hieracium eurofinmarkicum (Norrl.) Schljakov,Hieracium eurofinmarkicum,Hieracium gemellum Almq. ex Elfstr.,Hieracium gemellum,Hieracium,Hieracium
87997,Hieracium porrectum Fr.,Hieracium valdepilosum subsp. porrectum (Fr.) Greuter,Hieracium valdepilosum subsp. porrectum (Fr.) Greuter,Hieracium valdepilosum subsp. porrectum (Fr.) Greuter,Hieracium valdepilosum,Hieracium porrectum Fr.,Hieracium porrectum,Hieracium,Hieracium
102760,Hieracium elongatiforme (Zahn) Prain,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum subsp. elongatiforme (Zahn) Greuter,Hieracium valdepilosum,Hieracium porrectum subsp. elongatiforme (Zahn) Zahn,Hieracium porrectum,Hieracium,Hieracium
114071,Osmunda basilaris Spreng.,Osmundastrum claytonianum (L.) Tagawa,Osmundastrum claytonianum (L.) Tagawa,Osmundastrum claytonianum (L.) Tagawa,Osmundastrum claytonianum,Osmunda claytoniana L.,Osmunda claytoniana,Osmundastrum,Osmunda
118016,Phegopteris villosa Fée,Polystichopsis pubescens (L.) C.V.Morton,Polystichopsis pubescens (L.) C.V.Morton,Polystichopsis pubescens (L.) C.V.Morton,Polystichopsis pubescens,Polystichopsis muscosa (Vahl) Proctor,Polystichopsis muscosa,Polystichopsis,Polystichopsis
122140,Melastoma vimineum (D.Don) Voigt,Pleroma vimineum D.Don,Pleroma vimineum D.Don,Pleroma vimineum D.Don,Pleroma vimineum,Pleroma viminea D.Don,Pleroma viminea,Pleroma,Pleroma
122557,Alifana lutescens Raf.,Miconia lutescens DC.,Miconia lutescens DC.,Miconia lutescens DC.,Miconia lutescens,Brachyotum lutescens Triana,Brachyotum lutescens,Miconia,Brachyotum
122632,Anerincleistus sessilifolius Guillaumin,Pseudodissochaeta assamica (C.B.Clarke) Nayar,Pseudodissochaeta assamica (C.B.Clarke) Nayar,Pseudodissochaeta assamica (C.B.Clarke) Nayar,Pseudodissochaeta assamica,Pseudodissochaeta subsessilis (Craib) Nayar,Pseudodissochaeta subsessilis,Pseudodissochaeta,Pseudodissochaeta
122641,Anplectrum crassinodum Merr.,Dissochaeta conica (Bakh.f.) Clausing,Dissochaeta conica (Bakh.f.) Clausing,Diplectria conica Bakh.f.,Diplectria conica,Diplectria stipularis Kuntze,Diplectria stipularis,Diplectria,Diplectria
122696,Asterostoma wightiana Blume,Osbeckia virgata D.Don ex Wight & Arn.,Osbeckia virgata D.Don ex Wight & Arn.,Osbeckia virgata D.Don ex Wight & Arn.,Osbeckia virgata,Osbeckia wightiana Benth. ex Wight & Arn.,Osbeckia wightiana,Osbeckia,Osbeckia
122798,Axinaea bracteata Zipp. ex Blume,Medinilla magnifica Lindl.,Medinilla magnifica Lindl.,Medinilla magnifica Lindl.,Medinilla magnifica,Medinilla bracteata Blume,Medinilla bracteata,Medinilla,Medinilla
122924,Ceramicalyx calvus Blume,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata Buch.-Ham. ex D.Don,Osbeckia stellata,Osbeckia rostrata D.Don,Osbeckia rostrata,Osbeckia,Osbeckia
122925,Ceramicalyx pulchellus Blume,Osbeckia rostrata D.Don,Osbeckia rostrata D.Don,Osbeckia rostrata D.Don,Osbeckia rostrata,Osbeckia nayarii G.S.Giri,Osbeckia nayarii,Osbeckia,Osbeckia
122945,Chaetogastra lutescens Naudin,Brachyotum lutescens Triana,Brachyotum lutescens Triana,Brachyotum lutescens Triana,Brachyotum lutescens,Brachyotum naudinii Triana,Brachyotum naudinii,Brachyotum,Brachyotum
122957,Chaetogastra strigosa DC.,Pleroma chamaecistus Triana,Pleroma chamaecistus Triana,Chaetogastra chamaecistus Griseb.,Chaetogastra chamaecistus,Brachyotum strigosum Triana,Brachyotum strigosum,Chaetogastra,Brachyotum
123011,Clidemia triflora Scheele,Pleroma vimineum D.Don,Pleroma vimineum D.Don,Pleroma vimineum D.Don,Pleroma vimineum,Pleroma viminea D.Don,Pleroma viminea,Pleroma,Pleroma
123013,Comolia amazonica Cogn.,Comolia villosa Triana,Comolia villosa Triana,Comolia villosa Triana,Comolia villosa,Comolia amazonica Cogn.,Comolia amazonica,Comolia,Comolia
