,202207_202112
number of new accepted species names,416165
number of old accepted species names,418152
new accepted species names which were previously published,376427
number of new species names,964986
number of old species names,965735
new species names not in old,87
species names have disappearedbut this could be due to orthographic changes with authorship,836
