,201807_202312
number of old unaccepted species names,461146
old unaccepted species names are now accepted,10644
Number of old Synonyms which are now accepted,10613
Number of old Homotypicsynonyms which are now accepted,5
Number of old Heterotypicsynonyms which are now accepted,27
