,202312_202207
number of new accepted species names,418152
number of old accepted species names,419760
new accepted species names which were previously published,340973
number of new species names,965735
number of old species names,1021625
new species names not in old,99115
species names have disappearedbut this could be due to orthographic changes with authorship,155005
