,v10_v13
number of new accepted species names,361633
number of old accepted species names,356292
new accepted species names which were previously published,350476
number of new species names,1034031
number of old species names,1023695
new species names not in old,24011
species names have disappearedbut this could be due to orthographic changes with authorship,13675
