,202406_201905
number of new accepted species names,370669
number of old accepted species names,422863
new accepted species names which were previously published,294020
number of new species names,807543
number of old species names,1037275
new species names not in old,127082
species names have disappearedbut this could be due to orthographic changes with authorship,356814
