,202212_202412,Percentages
original_names,1278064,100.0
total_disagreements,46961,3.6743856332703215
species_disagreements,17136,1.3407779266140036
genus_disagreements,4166,0.3259617671728489
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
