,v11_v12
number of old unaccepted species names,668725
old unaccepted species names are now accepted,940
Number of old Synonyms which are now accepted,607
Number of old Unplaceds which are now accepted,145
Number of old Illegitimates which are now accepted,169
Number of old Invalids which are now accepted,14
Number of old Misapplieds which are now accepted,5
