,v11_v12,Percentages
original_names,1367679,100.0
total_disagreements,4129,0.3018983255573859
species_disagreements,1630,0.11918001226896077
genus_disagreements,205,0.01498889724855028
unresolved_via_chaining_despite_a_direct_resolution,11,0.0008042822913856249
