,202312_202212
number of new accepted species names,423006
number of old accepted species names,419760
new accepted species names which were previously published,346729
number of new species names,981071
number of old species names,1021625
new species names not in old,89497
species names have disappearedbut this could be due to orthographic changes with authorship,130051
