,202212_202406,Percentages
original_names,1278064,100.0
total_disagreements,37637,2.9448447026127016
species_disagreements,13045,1.0206844101703827
genus_disagreements,3476,0.2719738604639517
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
