,v10_v12,Percentages
original_names,1359750,100.0
total_disagreements,7132,0.5245081816510387
species_disagreements,2858,0.21018569589998162
genus_disagreements,235,0.01728258871116014
unresolved_via_chaining,20,0.0014708586137157566
