,taxon_name_w_authors,v12_direct_accepted_name_w_author,v12_direct_accepted_species
count,1346462,1346462,1305506
unique,1346462,425789,355254
top,Dryopteris cheilanthoides var. subplana C.Chr.,Rosa canina L.,Rosa canina
freq,1,1095,1095
