,taxon_name_w_authors,v10_accepted_name_w_author,v12_taxon_name_w_authors,v12_chained_accepted_name_w_author,v12_chained_accepted_species,v12_direct_accepted_name_w_author,v12_direct_accepted_species
1334,Cleome nummularia DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea,Cleome parviflora subsp. psoraleifolia (DC.) Iltis,Cleome parviflora
2047,Conohoria passoura DC.,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens,Rinorea pubiflora (Benth.) Sprague & Sandwith,Rinorea pubiflora
4521,Ajuga nanti Boreau,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,Ajuga reptans L.,Ajuga reptans
6201,Angraecum longinode Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens,Angraecum costatum Frapp. ex Cordem.,Angraecum costatum
6385,Mystacidium spicatum Cordem.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum,Angraecum parvulum Ayres ex S.Moore,Angraecum parvulum
8693,Asperula saxatilis Lam.,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida,Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio,Cynanchica pyrenaica
8785,Aspidosperma marcgravianum Woodson,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum,Aspidosperma marcgravianum Woodson,Aspidosperma marcgravianum
8988,Attalea camposportoana Burret,Attalea apoda Burret,Attalea apoda Burret,Attalea exigua Drude,Attalea exigua,Attalea compta Mart.,Attalea compta
8998,Attalea gomphococca Mart.,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata
8999,Scheelea gomphococca (Mart.) Burret,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata
9004,Attalea pycnocarpa Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii
9042,Attalea phalerata var. concinna L.R.Moreno & O.I.Moreno,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea cephalotus Poepp. ex Mart.,Attalea cephalotus
9048,Scheelea leandroana Barb.Rodr.,Attalea princeps Mart.,Attalea princeps Mart.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea
9481,Baissea laxiflora Stapf,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora
9482,Baissea thollonii Hua,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora
12358,Trias pusilla J.Joseph & H.Deka,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme,"Bulbophyllum jejosephii J.J.Verm., Schuit. & de Vogel",Bulbophyllum jejosephii
14238,Calanthe candida Bosser,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica,Calanthe candida Bosser,Calanthe candida
14282,Calanthe nephroglossa Schltr.,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata,Calanthe nephroglossa Schltr.,Calanthe nephroglossa
14675,Callitriche palustris var. bifida L.,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica,Callitriche palustris subsp. palustris,Callitriche palustris
14700,Callitriche capricorni R.Mason,Callitriche sonderi Hegelm.,Callitriche sonderi Hegelm.,Callitriche sonderi Hegelm.,Callitriche sonderi,Callitriche capricorni R.Mason,Callitriche capricorni
18980,Exorrhiza vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
18981,Clinostigma savaiiense Christoph.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
18982,Clinostigma vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
19975,Coprosma acerosa var. brunnea Kirk,Coprosma acerosa A.Cunn.,Coprosma acerosa A.Cunn.,Coprosma acerosa A.Cunn.,Coprosma acerosa,Coprosma brunnea (Kirk) Cockayne,Coprosma brunnea
20894,Eucalyptus variegata F.Muell.,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora,Corymbia variegata (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia variegata
20907,Eucalyptus capricornia D.J.Carr & S.G.M.Carr,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia capricornia
20909,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia capricornia
20910,Eucalyptus drysdalensis D.J.Carr & S.G.M.Carr,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia,Corymbia drysdalensis (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia drysdalensis
21728,Oxydectes albida (Müll.Arg.) Kuntze,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton flavens,Croton humilis L.,Croton humilis
21738,Croton cascarilla Lam.,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton flavens,Croton eluteria (L.) W.Wright,Croton eluteria
21739,Croton albidus Müll.Arg.,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton flavens,Croton humilis L.,Croton humilis
21744,Croton lamarckianus Moldenke,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton flavens,Croton eluteria (L.) W.Wright,Croton eluteria
22254,Croton pycnocephalus var. chamaepitys (Baill.) Müll.Arg.,Croton pycnocephalus Baill.,Croton pycnocephalus Baill.,Croton pycnocephalus Baill.,Croton pycnocephalus,Croton chamaepitys Baill.,Croton chamaepitys
22266,Croton chamaepitys Baill.,Croton pycnocephalus Baill.,Croton pycnocephalus Baill.,Croton pycnocephalus Baill.,Croton pycnocephalus,Croton chamaepitys Baill.,Croton chamaepitys
23212,Hemiperis micrantha Frapp. ex Cordem.,Cynorkis falcata (Frapp. ex Cordem.) Schltr.,Cynorkis falcata (Frapp. ex Cordem.) Schltr.,Cynorkis falcata (Frapp. ex Cordem.) Schltr.,Cynorkis falcata,Cynorkis micrantha (Frapp. ex Cordem.) Schltr.,Cynorkis micrantha
23740,× Dactylodenia vollmannii (M.Schulze) Peitz,× Dactylodenia lebrunii (E.G.Camus) Peitz,× Dactylodenia lebrunii (E.G.Camus) Peitz,× Dactylodenia lebrunii (E.G.Camus) Peitz,× Dactylodenia lebrunii,× Dactylodenia vollmannii (M.Schulze) Peitz,× Dactylodenia vollmannii
23741,× Orchigymnadenia vollmannii M.Schulze,× Dactylodenia lebrunii (E.G.Camus) Peitz,× Dactylodenia lebrunii (E.G.Camus) Peitz,× Dactylodenia lebrunii (E.G.Camus) Peitz,× Dactylodenia lebrunii,× Dactylodenia vollmannii (M.Schulze) Peitz,× Dactylodenia vollmannii
23743,× Dactylogymnadenia vollmannii (M.Schulze) Soó,× Dactylodenia lebrunii (E.G.Camus) Peitz,× Dactylodenia lebrunii (E.G.Camus) Peitz,× Dactylodenia lebrunii (E.G.Camus) Peitz,× Dactylodenia lebrunii,× Dactylodenia vollmannii (M.Schulze) Peitz,× Dactylodenia vollmannii
24832,Callista dicupha (F.Muell.) Kuntze,Dendrobium affine (Decne.) Steud.,Dendrobium affine (Decne.) Steud.,Dendrobium affine (Decne.) Steud.,Dendrobium affine,Dendrobium dicuphum F.Muell.,Dendrobium dicuphum
24837,Dendrobium dicuphum var. grandiflorum Rupp & T.E.Hunt,Dendrobium affine (Decne.) Steud.,Dendrobium affine (Decne.) Steud.,Dendrobium affine (Decne.) Steud.,Dendrobium affine,Dendrobium dicuphum F.Muell.,Dendrobium dicuphum
24838,Vappodes dicupha (F.Muell.) M.A.Clem. & D.L.Jones,Dendrobium affine (Decne.) Steud.,Dendrobium affine (Decne.) Steud.,Dendrobium affine (Decne.) Steud.,Dendrobium affine,Dendrobium dicuphum F.Muell.,Dendrobium dicuphum
24842,Dendrobium dicuphum F.Muell.,Dendrobium affine (Decne.) Steud.,Dendrobium affine (Decne.) Steud.,Dendrobium affine (Decne.) Steud.,Dendrobium affine,Dendrobium dicuphum F.Muell.,Dendrobium dicuphum
25050,Dendrobium lubbersianum Rchb.f.,Dendrobium cariniferum Rchb.f.,Dendrobium cariniferum Rchb.f.,Dendrobium cariniferum Rchb.f.,Dendrobium cariniferum,Dendrobium williamsonii Day & Rchb.f.,Dendrobium williamsonii
