,taxon_name_w_authors,202312_accepted_name_w_author,202406_taxon_name_w_authors,202406_chained_accepted_name_w_author,202406_chained_accepted_species,202406_direct_accepted_name_w_author,202406_direct_accepted_species,202406_chained_accepted_genus,202406_direct_accepted_genus
2690,Hieracium melanophaeum (Nägeli & Peter) Prain,Pilosella piloselloides subsp. praealta (Gochnat) S.Bräut. & Greuter,Pilosella piloselloides subsp. praealta (Gochnat) S.Bräut. & Greuter,Pilosella piloselloides subsp. praealta (Gochnat) S.Bräut. & Greuter,Pilosella piloselloides,Hieracium chondrillifolium subsp. melanophaeum (Nägeli & Peter) Zahn,Hieracium chondrillifolium,Pilosella,Hieracium
2897,Scorzonera lasiospora Boiss. & Balansa,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
6122,Lasiospora latifolia Fisch. & C.A.Mey.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
6327,Picris humifusa Willd.,Helminthotheca echioides (L.) Holub,Helminthotheca echioides (L.) Holub,Helminthotheca echioides (L.) Holub,Helminthotheca echioides,Picris hieracioides L.,Picris hieracioides,Helminthotheca,Picris
6901,Hieracium scabricaule Bisch.,Pilosella balansae (Boiss.) S.Bräut. & Greuter,Pilosella balansae (Boiss.) S.Bräut. & Greuter,Pilosella balansae (Boiss.) S.Bräut. & Greuter,Pilosella balansae,Hieracium scabricaule Bisch.,Hieracium scabricaule,Pilosella,Hieracium
10321,Lasiospora nervosa Sch.Bip.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
10819,Hieracium tubulosum (Tausch) Tausch,Schlagintweitia intybacea (All.) Griseb.,Schlagintweitia intybacea (All.) Griseb.,Schlagintweitia intybacea (All.) Griseb.,Schlagintweitia intybacea,Hieracium alpinum subsp. tubulosum (Tausch) Zahn,Hieracium alpinum,Schlagintweitia,Hieracium
19604,Apargia pyrenaica Sternb. & Hoppe ex Steud.,Leontodon hispidus subsp. montanus (Ball) Greuter,Leontodon hispidus subsp. montanus (Ball) Greuter,Leontodon hispidus subsp. montanus (Ball) Greuter,Leontodon hispidus,Scorzoneroides pyrenaica (Gouan) Holub,Scorzoneroides pyrenaica,Leontodon,Scorzoneroides
20669,Prenanthes formosana Kitam.,Notoseris melanantha (Franch.) C.Shih,Notoseris melanantha (Franch.) C.Shih,Paraprenanthes melanantha (Franch.) Ze H.Wang,Paraprenanthes melanantha,Notoseris macilenta (Vaniot & H.Lév.) N.Kilian,Notoseris macilenta,Paraprenanthes,Notoseris
27908,Hieracium scabrum Michx.,Pilosella verruculata subsp. verruculata ,Pilosella verruculata subsp. verruculata ,Pilosella verruculata subsp. verruculata ,Pilosella verruculata,Hieracium scabrum Michx.,Hieracium scabrum,Pilosella,Hieracium
28916,Scorzonera paniculata Boiss.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
33615,Notoseris henryi (Dunn) C.Shih,Notoseris melanantha (Franch.) C.Shih,Notoseris melanantha (Franch.) C.Shih,Paraprenanthes melanantha (Franch.) Ze H.Wang,Paraprenanthes melanantha,Notoseris henryi (Dunn) C.Shih,Notoseris henryi,Paraprenanthes,Notoseris
35356,Scorzonera latifolia var. abbreviata Lipsch.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
37146,Sonchus agrestis Swartz,Erechtites hieraciifolius (L.) Raf. ex DC.,Erechtites hieraciifolius (L.) Raf. ex DC.,Erechtites hieraciifolius (L.) Raf. ex DC.,Erechtites hieraciifolius,Sonchus agrestis Swartz,Sonchus agrestis,Erechtites,Sonchus
40546,Scorzonera latifolia var. typica Trautv.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
41193,Scorzonera latifolia var. glabrata Trautv.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
41807,Scorzonera latifolia var. media Lipsch.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
43093,Scorzonera multiscapa var. compacta Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa,"Pseudopodospermum phaeopappum (Boiss.) Zaika, Sukhor. & N.Kilian",Pseudopodospermum phaeopappum,Scorzonera,Pseudopodospermum
43156,Scorzonera phaeopappa var. minor Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa,"Pseudopodospermum phaeopappum (Boiss.) Zaika, Sukhor. & N.Kilian",Pseudopodospermum phaeopappum,Scorzonera,Pseudopodospermum
43224,Scorzonera latifolia var. angustifolia Lipsch.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
43673,Sonchus libycus Spach,Sonchus fruticosus L.f.,Sonchus fruticosus L.f.,Sonchus fruticosus L.f.,Sonchus fruticosus,Launaea angustifolia subsp. arabica (Boiss.) N.Kilian,Launaea angustifolia,Sonchus,Launaea
44148,Scorzonera latifolia var. macrophylla Lipsch.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
61228,Prenanthes henryi Dunn,Notoseris melanantha (Franch.) C.Shih,Notoseris melanantha (Franch.) C.Shih,Paraprenanthes melanantha (Franch.) Ze H.Wang,Paraprenanthes melanantha,Notoseris henryi (Dunn) C.Shih,Notoseris henryi,Paraprenanthes,Notoseris
65948,Hieracium umbelliferum (Lindeb.) Norrl.,Pilosella densiflora (Tausch) Soják,Pilosella densiflora (Tausch) Soják,Pilosella densiflora (Tausch) Soják,Pilosella densiflora,Hieracium praenodatum Johanss.,Hieracium praenodatum,Pilosella,Hieracium
68602,Scorzonera multiscapa Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa,"Pseudopodospermum phaeopappum (Boiss.) Zaika, Sukhor. & N.Kilian",Pseudopodospermum phaeopappum,Scorzonera,Pseudopodospermum
70907,Notoseris formosana (Kitam.) C.Shih,Notoseris melanantha (Franch.) C.Shih,Notoseris melanantha (Franch.) C.Shih,Paraprenanthes melanantha (Franch.) Ze H.Wang,Paraprenanthes melanantha,Notoseris macilenta (Vaniot & H.Lév.) N.Kilian,Notoseris macilenta,Paraprenanthes,Notoseris
71544,Scorzonera nervosa Trevir.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia DC.,Scorzonera latifolia,"Gelasia latifolia (Fisch. & C.A.Mey.) Zaika, Sukhor. & N.Kilian",Gelasia latifolia,Scorzonera,Gelasia
73143,Andryala integrifolia var. diffusa DC.,Hieracium racemosum subsp. crinitum (Sm.) Rouy,Hieracium racemosum subsp. crinitum (Sm.) Rouy,Hieracium racemosum subsp. crinitum (Sm.) Rouy,Hieracium racemosum,Andryala integrifolia L.,Andryala integrifolia,Hieracium,Andryala
80993,Podospermum phaeopappum Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa Boiss.,Scorzonera phaeopappa,"Pseudopodospermum phaeopappum (Boiss.) Zaika, Sukhor. & N.Kilian",Pseudopodospermum phaeopappum,Scorzonera,Pseudopodospermum
82746,Lactuca crepidioides Vaniot,Ixeris chinensis subsp. versicolor (Fisch. ex Link) Kitam.,Ixeris chinensis subsp. versicolor (Fisch. ex Link) Kitam.,Ixeris chinensis subsp. versicolor (Fisch. ex Link) Kitam.,Ixeris chinensis,Ixeridium dentatum subsp. dentatum ,Ixeridium dentatum,Ixeris,Ixeridium
85833,Leontodon autumnalis var. atlanticus Ball,Leontodon atlanticus (Ball) Widder,Leontodon atlanticus (Ball) Widder,Leontodon atlanticus (Ball) Widder,Leontodon atlanticus,Scorzoneroides atlantica (Ball) Holub,Scorzoneroides atlantica,Leontodon,Scorzoneroides
87248,Hieracium gracile var. densifloccum (Zahn) Cronquist,Pilosella tristis F.W.Schultz & Sch.Bip.,Pilosella tristis F.W.Schultz & Sch.Bip.,Pilosella tristis F.W.Schultz & Sch.Bip.,Pilosella tristis,Hieracium triste Willd. ex Spreng.,Hieracium triste,Pilosella,Hieracium
93537,Leontodon pavonii Boiss.,Leontodon hispidus L.,Leontodon hispidus L.,Leontodon hispidus L.,Leontodon hispidus,Hypochaeris radicata L.,Hypochaeris radicata,Leontodon,Hypochaeris
106211,Notoseris rhombiformis C.Shih,Notoseris melanantha (Franch.) C.Shih,Notoseris melanantha (Franch.) C.Shih,Paraprenanthes melanantha (Franch.) Ze H.Wang,Paraprenanthes melanantha,Notoseris khasiana (C.B.Clarke) N.Kilian,Notoseris khasiana,Paraprenanthes,Notoseris
128473,Collaea argentina Griseb.,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla,Collaea argentina Griseb.,Collaea argentina,Nanogalactia,Collaea
139079,Mimosa terminalis Vell.,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala,"Hydrochorea pedicellaris (DC.) M.V.B.Soares, Iganci & M.P.Morim",Hydrochorea pedicellaris,Pseudalbizzia,Hydrochorea
150422,Indigofera enneaphylla L.,Indigofera tsiangiana Metcalf,Indigofera tsiangiana Metcalf,Indigofera tsiangiana Metcalf,Indigofera tsiangiana,Psoralea pinnata L.,Psoralea pinnata,Indigofera,Psoralea
155670,Feuilleea terminalis Kuntze,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala,"Hydrochorea pedicellaris (DC.) M.V.B.Soares, Iganci & M.P.Morim",Hydrochorea pedicellaris,Pseudalbizzia,Hydrochorea
163792,Lens himalayensis (A.Braun & C.D.Bouché) Alef.,Lens culinaris subsp. culinaris ,Lens culinaris subsp. culinaris ,Vicia lens subsp. lens ,Vicia lens,Aa Rchb.f.,,Vicia,Aa
174078,Cytisus gallicus A.Kern. ex Willk. & Lange,Chamaecytisus supinus subsp. supinus ,Chamaecytisus supinus subsp. supinus ,Chamaecytisus supinus subsp. supinus ,Chamaecytisus supinus,Cytisus lotoides Pourr.,Cytisus lotoides,Chamaecytisus,Cytisus
188208,Listrostachys pescatoriana (Lindl.) S.Moore,Oeoniella polystachys (Thouars) Schltr.,Oeoniella polystachys (Thouars) Schltr.,Oeoniella polystachys (Thouars) Schltr.,Oeoniella polystachys,Listrostachys pertusa (Lindl.) Rchb.f.,Listrostachys pertusa,Oeoniella,Listrostachys
226136,Phyllanthus anabaptizatus Müll.Arg.,Glochidion zeylanicum (Gaertn.) A.Juss.,Glochidion zeylanicum (Gaertn.) A.Juss.,Glochidion zeylanicum (Gaertn.) A.Juss.,Glochidion zeylanicum,Phyllanthus zeylanicus Müll.Arg.,Phyllanthus zeylanicus,Glochidion,Phyllanthus
226679,Phyllanthus flueggeiformis Müll.Arg.,Flueggea virosa (Roxb. ex Willd.) Royle,Flueggea virosa (Roxb. ex Willd.) Royle,Flueggea virosa (Roxb. ex Willd.) Royle,Flueggea virosa,Phyllanthus glaucus Wall. ex Müll.Arg.,Phyllanthus glaucus,Flueggea,Phyllanthus
249752,Reidia polyphylla Wight,Phyllanthus zeylanicus (Gaertn.) Müll.Arg.,Phyllanthus zeylanicus (Gaertn.) Müll.Arg.,Glochidion zeylanicum (Gaertn.) A.Juss.,Glochidion zeylanicum,Phyllanthus zeylanicus Müll.Arg.,Phyllanthus zeylanicus,Glochidion,Phyllanthus
250086,Restrepia liebmanniana Kraenzl.,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,Acianthera strupifolia,Andreettaea marginata (Rich.) A.Doucette,Andreettaea marginata,Acianthera,Andreettaea
257206,Sarcanthus ornithorrhynchus Rchb.f.,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea (Lindl.) Garay,Robiquetia rosea,Cleisostoma discolor Lindl.,Cleisostoma discolor,Robiquetia,Cleisostoma
260108,Schiedeella petiolata Schltr.,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha,Schiedeella transversalis (A.Rich. & Galeotti) Schltr.,Schiedeella transversalis,Greenwoodiella,Schiedeella
260120,Schiedeella transversalis (A.Rich. & Galeotti) Schltr.,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha,Schiedeella transversalis (A.Rich. & Galeotti) Schltr.,Schiedeella transversalis,Greenwoodiella,Schiedeella
266565,Spiranthes transversalis A.Rich. & Galeotti,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha,Schiedeella transversalis (A.Rich. & Galeotti) Schltr.,Schiedeella transversalis,Greenwoodiella,Schiedeella
266571,Spiranthes tuerckheimii Schltr.,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha (Lex.) Salazar & R.Jiménez,Greenwoodiella micrantha,Schiedeella transversalis (A.Rich. & Galeotti) Schltr.,Schiedeella transversalis,Greenwoodiella,Schiedeella
285011,Vitex punctata Schauer,Teijsmanniodendron hollrungii (Warb.) Kosterm.,Teijsmanniodendron hollrungii (Warb.) Kosterm.,Teijsmanniodendron hollrungii (Warb.) Kosterm.,Teijsmanniodendron hollrungii,Vitex cofassus Reinw. ex Blume,Vitex cofassus,Teijsmanniodendron,Vitex
287363,Phyllanthus taitensis var. glabrescens Müll.Arg.,Phyllanthus mittenianus Hutch.,Phyllanthus mittenianus Hutch.,Phyllanthus mittenianus Hutch.,Phyllanthus mittenianus,Glochidion taitense Baill. ex Müll.Arg.,Glochidion taitense,Phyllanthus,Glochidion
