,202204_202204
number of new accepted species names,417460
number of old accepted species names,417460
new accepted species names which were previously published,376966
number of new species names,965566
number of old species names,965566
new species names not in old,0
species names have disappearedbut this could be due to orthographic changes with authorship,0
