,202112_202312
number of new accepted species names,419760
number of old accepted species names,416165
new accepted species names which were previously published,326826
number of new species names,1021625
number of old species names,964986
new species names not in old,155601
species names have disappearedbut this could be due to orthographic changes with authorship,98962
